Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88482012620,91338996351,96175558111,1.32692E+11,1.73596E+11,2.00271E+11,1.93852E+11,2.2E+11,2.26934E+11,2.50146E+11,2.71173E+11,2.98292E+11,3.26427E+11,3.68514E+11,3.99238E+11,4.28285E+11,3.47083E+11,3.21116E+11,3.23152E+11,2.37674E+11,2.19881E+11,2.10275E+11,2.03388E+11,2.02878E+11,2.13852E+11,2.18118E+11,2.2235E+11,2.1162E+11,2.2765E+11,2.45734E+11
Afghanistan,AFG,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12069204655,13477720039,16050885106,18332133967,17847069163,20771138522,25480649384,27828391543,25360821218,27966458796,30021786685,30519024980,31528862790,25528682879,23988457710,26092966701,24720129352,24208647376,23726818390,25009743133,27129881938
Albania,ALB,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926558465.1,735514192.9,829729990.1,1138970130,1624459920,1993417691,2096500550,2261813812,2528663339,2707146847,2912069945,3047088409,3181668189,3212732741,2940642735,3115414120,2870596973,2813877875,2685912583,2779928278,2847412459,3019235011,3090076002,2979944223,2938790670,3503444355,3732227209
Andorra,AND,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79739E+11,3.88677E+11,4.22172E+11,4.55356E+11,4.99817E+11,5.56206E+11,6.2913E+11,7.26605E+11,7.94399E+11,6.97942E+11,6.96413E+11,7.08094E+11,6.06893E+11,6.04672E+11,6.14817E+11,6.42294E+11,6.22073E+11,6.17578E+11,6.4222E+11,6.65368E+11,5.8066E+11,6.11873E+11,6.95303E+11
United Arab Emirates,ARE,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34732940033,36748912205,39523927674,40554795158,46669807548,53616808460,76827498883,77110677779,84093119040,76166459951,75944071497,76746598568,72382101335,80261143470,83725068455,91124597241,75387906026,78104944287,78122010038,82687877676,,
Argentina,ARG,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,24147333337,27568193217,25354592012,21933732075,24147333337,25354592012,25354592012,26562075937,29982954766,36824609329,37452455337,40507091722,40949709271,37971548957,39500974442,39581458739,43726705038,52842300876,46081027515,49200216424,53297557754,45315748531,36278481288,36423417089,34917531481,29992514289,33303920798,37612089350,36288244984,28449417959,23655665666,30738569003,40772703493,46327225414,52661207598,45770986409,49836963890,58639598832,62476955247,54598702030,50883664313,42914748083,27273361806,37682562547,50654861461,58672701570,67164293725,80901540192,87936280775,68086553749,85962395052,1.00901E+11,93761965458,95955516956,89473196447,92571210122,87222011290,98892817130,93210783978,78342216931,68106055856,91128325708,1.01205E+11
